wires 0
00-98 01-3b 02-c7 03-bd 04-16 05-f2 06-4a 07-5d 
58-76 59-db 5a-e6 5b-e8 5c-50 5d-2b 5e-64 5f-48 
60-8b 61-0e 62-c5 63-b8 64-5e 65-fa 66-6c 67-6b 
68-47 69-6d 6a-c3 6b-67 6c-66 6d-69 6e-08 6f-bf 
70-d2 71-52 72-d6 73-14 74-eb 75-e0 76-58 77-94 
78-3a 79-c2 7a-d4 7b-06 7c-98 7d-35 7e-53 7f-27 
80-e5 81-e2 82-d1 83-a7 84-9b 85-a3 86-9c 87-91 
88-f7 89-11 8a-3e 8b-60 8c-57 8d-b4 8e-f9 8f-25 
90-54 91-87 92-fe 93-2a 94-77 95-32 96-da 97-a0 
98-7c 99-ae 9a-f6 9b-84 9c-86 9d-f5 9e-22 9f-1c 
a0-97 a1-e4 a2-0f a3-85 a4-2c a5-56 a6-4b a7-83 
a8-f3 a9-2d aa-b3 ab-20 ac-4f ad-00 ae-99 af-36 
b0-41 b1-d0 b2-28 b3-aa b4-8d b5-cd b6-d3 b7-43 
b8-63 b9-4d ba-be bb-46 bc-49 bd-3c be-ba bf-6f 
c0-c6 c1-f4 c2-79 c3-6a c4-24 c5-62 c6-c0 c7-fd 
c8-e7 c9-ce ca-51 cb-d7 cc-02 cd-b5 ce-c9 cf-09 
d0-b1 d1-82 d2-70 d3-b6 d4-7a d5-10 d6-72 d7-cb 
d8-21 d9-fc da-96 db-59 dc-1b dd-fb de-40 df-ea 
e0-75 e1-f8 e2-81 e3-30 e4-a1 e5-80 e6-5a e7-c8 
e8-5b e9-33 ea-df eb-74 ec-3b ed-31 ee-0b ef-15 
f0-0a f1-29 f2-01 f3-a8 f4-c1 f5-9d f6-9a f7-88 
f8-e1 f9-8e fa-65 fb-dd fc-d9 fd-c7 fe-92 ff-2f 
end wires

wires 32
00-ae 01-4b 02-f3 03-77 04-df 05-c3 06-0d 07-50 
08-ee 09-6d 0a-99 0b-aa 0c-ab 0d-06 0e-14 0f-74 
10-e0 11-ea 12-52 13-f5 14-0e 15-39 16-49 17-af 
18-55 19-43 1a-cc 1b-f7 1c-45 1d-fb 1e-ff 1f-e8 
20-a2 21-b6 22-58 23-7c 24-8d 25-89 26-fd 27-80 
28-2a 29-d1 2a-28 2b-5b 2c-fe 2d-35 2e-65 2f-a6 
30-8a 31-7a 32-f0 33-d4 34-c1 35-2d 36-d5 37-54 
38-9e 39-15 3a-72 3b-6a 3c-bd 3d-5e 3e-d0 3f-91 
40-73 41-d3 42-ec 43-19 44-b2 45-1c 46-bf 47-5a 
48-dd 49-16 4a-6b 4b-01 4c-95 4d-6c 4e-d6 4f-70 
50-07 51-6f 52-12 53-c6 54-37 55-18 56-a7 57-a4 
58-22 59-7b 5a-47 5b-2b 5c-ef 5d-93 5e-3d 5f-e1 
60-84 61-83 62-85 63-f4 64-c9 65-2e 66-f9 67-db 
68-b7 69-bb 6a-3b 6b-4a 6c-4d 6d-09 6e-a3 6f-51 
70-4f 71-b8 72-3a 73-40 74-0f 75-e7 76-b5 77-03 
78-dc 79-a8 7a-31 7b-59 7c-23 7d-9c 7e-94 7f-e2 
80-27 81-b0 82-a0 83-61 84-60 85-62 86-f2 87-cf 
88-90 89-25 8a-30 8b-e5 8c-e6 8d-24 8e-8f 8f-8e 
90-88 91-3f 92-b1 93-5d 94-7e 95-4c 96-ac 97-d2 
98-c2 99-0a 9a-ad 9b-9d 9c-7d 9d-9b 9e-38 9f-b4 
a0-82 a1-d8 a2-20 a3-6e a4-57 a5-da a6-2f a7-56 
a8-79 a9-e9 aa-0b ab-0c ac-96 ad-9a ae-00 af-17 
b0-81 b1-92 b2-44 b3-be b4-9f b5-76 b6-21 b7-68 
b8-71 b9-e3 ba-c0 bb-69 bc-ed bd-3c be-b3 bf-46 
c0-ba c1-34 c2-98 c3-05 c4-c8 c5-ce c6-53 c7-fc 
c8-c4 c9-64 ca-e4 cb-d9 cc-1a cd-eb ce-c5 cf-87 
d0-3e d1-29 d2-97 d3-41 d4-33 d5-36 d6-4e d7-f1 
d8-a1 d9-cb da-a5 db-67 dc-78 dd-48 de-f6 df-04 
e0-10 e1-5f e2-7f e3-b9 e4-ca e5-8b e6-8c e7-75 
e8-1f e9-a9 ea-11 eb-cd ec-42 ed-bc ee-08 ef-5c 
f0-32 f1-d7 f2-86 f3-02 f4-63 f5-13 f6-de f7-1b 
f8-fa f9-66 fa-f8 fb-1d fc-c7 fd-26 fe-2c ff-1e 
end wires

wires 33
00-dd 01-2d 02-7b 03-70 04-f9 05-14 06-8c 07-d8 
08-2f 09-d4 0a-c6 0b-fc 0c-b9 0d-a9 0e-b8 0f-9d 
10-af 11-52 12-bc 13-42 14-05 15-1d 16-99 17-96 
18-6e 19-e2 1a-c4 1b-34 1c-a0 1d-15 1e-25 1f-71 
20-60 21-f4 22-c1 23-d1 24-fa 25-1e 26-37 27-31 
28-3b 29-97 2a-df 2b-ab 2c-ad 2d-01 2e-59 2f-08 
30-44 31-27 32-e5 33-3c 34-1b 35-fe 36-f3 37-26 
38-5c 39-91 3a-f2 3b-28 3c-33 3d-e6 3e-77 3f-ee 
40-b4 41-8f 42-13 43-c2 44-30 45-d0 46-72 47-8d 
48-d7 49-66 4a-da 4b-e9 4c-ec 4d-ae 4e-58 4f-51 
50-be 51-4f 52-11 53-9b 54-f6 55-79 56-cd 57-65 
58-4e 59-2e 5a-c7 5b-a8 5c-38 5d-cc 5e-9a 5f-bf 
60-20 61-94 62-83 63-6b 64-c3 65-57 66-49 67-90 
68-7e 69-86 6a-e7 6b-63 6c-9c 6d-c8 6e-18 6f-ba 
70-03 71-1f 72-46 73-fd 74-75 75-74 76-8e 77-3e 
78-c0 79-55 7a-c5 7b-02 7c-8b 7d-93 7e-68 7f-f5 
80-a1 81-d5 82-fb 83-62 84-9f 85-b6 86-69 87-ac 
88-ff 89-bd 8a-9e 8b-7c 8c-06 8d-47 8e-76 8f-41 
90-67 91-39 92-ed 93-7d 94-61 95-f7 96-17 97-29 
98-ce 99-16 9a-5e 9b-53 9c-6c 9d-0f 9e-8a 9f-84 
a0-1c a1-80 a2-e4 a3-cb a4-b5 a5-db a6-c9 a7-bb 
a8-5b a9-0d aa-b1 ab-2b ac-87 ad-2c ae-4d af-10 
b0-d2 b1-aa b2-f1 b3-f0 b4-40 b5-a4 b6-85 b7-e0 
b8-0e b9-0c ba-6f bb-a7 bc-12 bd-89 be-50 bf-5f 
c0-78 c1-22 c2-43 c3-64 c4-1a c5-7a c6-0a c7-5a 
c8-6d c9-a6 ca-cf cb-a3 cc-5d cd-56 ce-98 cf-ca 
d0-45 d1-23 d2-b0 d3-e1 d4-09 d5-81 d6-de d7-48 
d8-07 d9-ef da-4a db-a5 dc-eb dd-00 de-d6 df-2a 
e0-b7 e1-d3 e2-19 e3-ea e4-a2 e5-32 e6-3d e7-6a 
e8-f8 e9-4b ea-e3 eb-dc ec-4c ed-92 ee-3f ef-d9 
f0-b3 f1-b2 f2-3a f3-36 f4-21 f5-7f f6-54 f7-95 
f8-e8 f9-04 fa-24 fb-82 fc-0b fd-73 fe-35 ff-88 
end wires

wires 34
00-53 01-bf 02-ae 03-5d 04-ac 05-08 06-21 07-42 
08-05 09-d7 0a-36 0b-54 0c-ea 0d-96 0e-22 0f-ed 
10-c5 11-44 12-8d 13-47 14-3a 15-a2 16-60 17-7b 
18-1a 19-b5 1a-18 1b-31 1c-5f 1d-cc 1e-6d 1f-d5 
20-67 21-06 22-0e 23-a7 24-f6 25-ff 26-e2 27-df 
28-30 29-ee 2a-c9 2b-fc 2c-ad 2d-a5 2e-4d 2f-cb 
30-28 31-1b 32-e5 33-c1 34-6e 35-8f 36-0a 37-68 
38-d4 39-4b 3a-14 3b-aa 3c-8b 3d-b0 3e-84 3f-b6 
40-89 41-f7 42-07 43-81 44-11 45-f4 46-9b 47-13 
48-a3 49-f3 4a-88 4b-39 4c-4f 4d-2e 4e-62 4f-4c 
50-f8 51-69 52-c6 53-00 54-0b 55-d6 56-5e 57-e6 
58-b2 59-ef 5a-fb 5b-d9 5c-b9 5d-03 5e-56 5f-1c 
60-16 61-c7 62-4e 63-73 64-92 65-a1 66-e0 67-20 
68-37 69-51 6a-af 6b-fd 6c-ab 6d-1e 6e-34 6f-e4 
70-99 71-bc 72-ca 73-63 74-b4 75-76 76-75 77-8a 
78-d3 79-d1 7a-be 7b-17 7c-8c 7d-de 7e-fe 7f-b8 
80-db 81-43 82-dc 83-ec 84-3e 85-f2 86-c0 87-c2 
88-4a 89-40 8a-77 8b-3c 8c-7c 8d-12 8e-fa 8f-35 
90-f5 91-e1 92-64 93-a6 94-9a 95-b1 96-0d 97-ce 
98-eb 99-70 9a-94 9b-46 9c-da 9d-cf 9e-a9 9f-f9 
a0-c8 a1-65 a2-15 a3-48 a4-cd a5-2d a6-93 a7-23 
a8-b3 a9-9e aa-3b ab-6c ac-04 ad-2c ae-02 af-6a 
b0-3d b1-95 b2-58 b3-a8 b4-74 b5-19 b6-3f b7-e3 
b8-7f b9-5c ba-f1 bb-d8 bc-71 bd-d2 be-7a bf-01 
c0-86 c1-33 c2-87 c3-e7 c4-e9 c5-10 c6-52 c7-61 
c8-a0 c9-2a ca-72 cb-2f cc-1d cd-a4 ce-97 cf-9d 
d0-e8 d1-79 d2-bd d3-78 d4-38 d5-1f d6-55 d7-09 
d8-bb d9-5b da-9c db-80 dc-82 dd-f0 de-7d df-27 
e0-66 e1-91 e2-26 e3-b7 e4-6f e5-32 e6-57 e7-c3 
e8-d0 e9-c4 ea-0c eb-98 ec-83 ed-0f ee-29 ef-59 
f0-dd f1-ba f2-85 f3-49 f4-45 f5-90 f6-24 f7-41 
f8-50 f9-9f fa-8e fb-5a fc-2b fd-6b fe-7e ff-25 
end wires

wires 35
00-19 01-dd 02-a1 03-0c 04-d0 05-5e 06-4a 07-30 
08-bb 09-f8 0a-71 0b-2e 0c-03 0d-3c 0e-9c 0f-16 
10-da 11-77 12-ea 13-8c 14-4f 15-75 16-0f 17-46 
18-1d 19-00 1a-79 1b-e5 1c-5a 1d-18 1e-83 1f-4c 
20-9d 21-a9 22-ff 23-a0 24-44 25-28 26-73 27-65 
28-25 29-2f 2a-96 2b-bd 2c-97 2d-3a 2e-0b 2f-29 
30-07 31-80 32-41 33-87 34-7b 35-6f 36-e8 37-be 
38-91 39-92 3a-2d 3b-ac 3c-0d 3d-e0 3e-f9 3f-dc 
40-74 41-32 42-ab 43-d7 44-24 45-f0 46-17 47-51 
48-d8 49-fb 4a-06 4b-c1 4c-1f 4d-aa 4e-7c 4f-14 
50-cb 51-47 52-ba 53-b7 54-69 55-6a 56-95 57-bf 
58-ec 59-63 5a-1c 5b-ce 5c-af 5d-e6 5e-05 5f-e4 
60-6d 61-89 62-9e 63-59 64-7e 65-27 66-eb 67-b3 
68-8d 69-54 6a-55 6b-b9 6c-93 6d-60 6e-fc 6f-35 
70-f3 71-0a 72-c5 73-26 74-40 75-15 76-a7 77-11 
78-c9 79-1a 7a-fd 7b-34 7c-4e 7d-cd 7e-64 7f-9b 
80-31 81-d2 82-c7 83-1e 84-a8 85-b6 86-e2 87-33 
88-8e 89-61 8a-d5 8b-b8 8c-13 8d-68 8e-88 8f-e7 
90-ad 91-38 92-39 93-6c 94-a2 95-56 96-2a 97-2c 
98-ed 99-c4 9a-c0 9b-7f 9c-0e 9d-20 9e-62 9f-ee 
a0-23 a1-02 a2-94 a3-fa a4-d6 a5-b1 a6-f5 a7-76 
a8-84 a9-21 aa-4d ab-42 ac-3b ad-90 ae-de af-5c 
b0-ef b1-a5 b2-fe b3-67 b4-f2 b5-bc b6-85 b7-53 
b8-8b b9-6b ba-52 bb-08 bc-b5 bd-2b be-37 bf-57 
c0-9a c1-4b c2-d1 c3-cc c4-99 c5-72 c6-c8 c7-82 
c8-c6 c9-78 ca-f7 cb-50 cc-c3 cd-7d ce-5b cf-d3 
d0-04 d1-c2 d2-81 d3-cf d4-f6 d5-8a d6-a4 d7-43 
d8-48 d9-e9 da-10 db-f1 dc-3f dd-01 de-ae df-f4 
e0-3d e1-e3 e2-86 e3-e1 e4-5f e5-1b e6-5d e7-8f 
e8-36 e9-d9 ea-12 eb-66 ec-58 ed-98 ee-9f ef-b0 
f0-45 f1-db f2-b4 f3-70 f4-df f5-a6 f6-d4 f7-ca 
f8-09 f9-3e fa-a3 fb-49 fc-6e fd-7a fe-b2 ff-22 
end wires

wires 36
00-03 01-3d 02-ba 03-00 04-08 05-21 06-61 07-2a 
08-04 09-bf 0a-26 0b-99 0c-2e 0d-76 0e-1d 0f-12 
10-da 11-65 12-0f 13-c4 14-9e 15-36 16-94 17-d0 
18-b2 19-fd 1a-db 1b-c9 1c-28 1d-0e 1e-cd 1f-60 
20-31 21-05 22-a2 23-a5 24-f7 25-ed 26-0a 27-c5 
28-1c 29-93 2a-07 2b-30 2c-d1 2d-c8 2e-0c 2f-e4 
30-2b 31-20 32-c2 33-84 34-5d 35-5b 36-15 37-71 
38-a8 39-b9 3a-d2 3b-70 3c-f8 3d-01 3e-aa 3f-54 
40-90 41-96 42-d5 43-9d 44-eb 45-57 46-49 47-78 
48-b7 49-46 4a-a3 4b-69 4c-82 4d-b6 4e-ac 4f-53 
50-73 51-fc 52-ad 53-4f 54-3f 55-f4 56-b0 57-45 
58-86 59-7e 5a-b8 5b-35 5c-9c 5d-34 5e-be 5f-6e 
60-1f 61-06 62-ae 63-85 64-ab 65-11 66-8b 67-bc 
68-f2 69-4b 6a-e3 6b-bb 6c-ea 6d-9f 6e-5f 6f-e2 
70-3b 71-37 72-a4 73-50 74-e6 75-f6 76-0d 77-c7 
78-47 79-8d 7a-8e 7b-e8 7c-f3 7d-df 7e-59 7f-d6 
80-8f 81-d9 82-4c 83-98 84-33 85-63 86-58 87-ca 
88-8c 89-f9 8a-a6 8b-66 8c-88 8d-79 8e-7a 8f-80 
90-40 91-e1 92-b4 93-29 94-16 95-fa 96-41 97-ee 
98-83 99-0b 9a-9b 9b-9a 9c-5c 9d-43 9e-14 9f-6d 
a0-ff a1-ec a2-22 a3-4a a4-72 a5-23 a6-8a a7-e7 
a8-38 a9-ef aa-3e ab-64 ac-4e ad-52 ae-62 af-d3 
b0-56 b1-fe b2-18 b3-d8 b4-92 b5-dd b6-4d b7-48 
b8-5a b9-39 ba-02 bb-6b bc-67 bd-fb be-5e bf-09 
c0-cf c1-f5 c2-32 c3-f0 c4-13 c5-27 c6-de c7-77 
c8-2d c9-1b ca-87 cb-dc cc-e9 cd-1e ce-d4 cf-c0 
d0-17 d1-2c d2-3a d3-af d4-ce d5-42 d6-7f d7-e0 
d8-b3 d9-81 da-10 db-1a dc-cb dd-b5 de-c6 df-7d 
e0-d7 e1-91 e2-6f e3-6a e4-2f e5-f1 e6-74 e7-a7 
e8-7b e9-cc ea-6c eb-44 ec-a1 ed-25 ee-97 ef-a9 
f0-c3 f1-e5 f2-68 f3-7c f4-55 f5-c1 f6-75 f7-24 
f8-3c f9-89 fa-95 fb-bd fc-51 fd-19 fe-b1 ff-a0 
end wires

wires 37
00-d0 01-df 02-5c 03-da 04-98 05-fe 06-ff 07-0d 
08-3f 09-3d 0a-43 0b-e5 0c-d1 0d-07 0e-e3 0f-63 
10-c6 11-66 12-36 13-9c 14-e1 15-f7 16-90 17-92 
18-7e 19-7c 1a-8e 1b-cd 1c-6d 1d-91 1e-8f 1f-c2 
20-99 21-a8 22-59 23-ca 24-c5 25-d7 26-85 27-8a 
28-4f 29-6c 2a-f9 2b-d6 2c-5f 2d-ac 2e-bd 2f-81 
30-e8 31-74 32-cb 33-d3 34-55 35-4d 36-12 37-8c 
38-af 39-dd 3a-ed 3b-a1 3c-62 3d-09 3e-fb 3f-08 
40-db 41-4b 42-79 43-0a 44-5d 45-e7 46-4c 47-b5 
48-c9 49-a5 4a-7a 4b-41 4c-46 4d-35 4e-d9 4f-28 
50-e2 51-a7 52-69 53-aa 54-b0 55-34 56-c7 57-ad 
58-f5 59-22 5a-68 5b-b9 5c-02 5d-44 5e-ab 5f-2c 
60-f6 61-6e 62-3c 63-0f 64-65 65-64 66-11 67-95 
68-5a 69-52 6a-dc 6b-fc 6c-29 6d-1c 6e-61 6f-9a 
70-96 71-ba 72-73 73-72 74-31 75-d2 76-b6 77-f4 
78-bb 79-42 7a-4a 7b-bc 7c-19 7d-ee 7e-18 7f-c4 
80-bf 81-2f 82-f2 83-be 84-97 85-26 86-a2 87-88 
88-87 89-e0 8a-27 8b-b7 8c-37 8d-cc 8e-1a 8f-1e 
90-16 91-1d 92-17 93-b8 94-f8 95-67 96-70 97-84 
98-04 99-20 9a-6f 9b-b3 9c-13 9d-b4 9e-c1 9f-f3 
a0-c3 a1-3b a2-86 a3-e9 a4-ec a5-49 a6-fa a7-51 
a8-21 a9-f0 aa-53 ab-5e ac-2d ad-57 ae-ef af-38 
b0-54 b1-ce b2-ea b3-9b b4-9d b5-47 b6-76 b7-8b 
b8-93 b9-5b ba-71 bb-78 bc-7b bd-2e be-83 bf-80 
c0-d4 c1-9e c2-1f c3-a0 c4-7f c5-24 c6-10 c7-56 
c8-d8 c9-48 ca-23 cb-32 cc-8d cd-1b ce-b1 cf-e6 
d0-00 d1-0c d2-75 d3-33 d4-c0 d5-f1 d6-2b d7-25 
d8-c8 d9-4e da-03 db-40 dc-6a dd-39 de-eb df-01 
e0-89 e1-14 e2-50 e3-0e e4-fd e5-0b e6-cf e7-45 
e8-30 e9-a3 ea-b2 eb-de ec-a4 ed-3a ee-7d ef-ae 
f0-a9 f1-d5 f2-82 f3-9f f4-77 f5-58 f6-60 f7-15 
f8-94 f9-2a fa-a6 fb-3e fc-6b fd-e4 fe-05 ff-06 
end wires

wires 38
00-62 01-4f 02-ed 03-10 04-79 05-82 06-43 07-6d 
08-f6 09-68 0a-1b 0b-dd 0c-47 0d-f9 0e-80 0f-8d 
10-03 11-bf 12-cc 13-4e 14-28 15-9e 16-d1 17-33 
18-63 19-fa 1a-db 1b-0a 1c-ac 1d-bc 1e-7e 1f-3e 
20-6c 21-89 22-c5 23-91 24-9c 25-b3 26-f2 27-83 
28-14 29-48 2a-c3 2b-cf 2c-e2 2d-c0 2e-9a 2f-4d 
30-e4 31-ee 32-f4 33-17 34-74 35-87 36-42 37-da 
38-8a 39-40 3a-66 3b-fc 3c-f7 3d-57 3e-1f 3f-ce 
40-39 41-be 42-36 43-06 44-7b 45-a5 46-59 47-0c 
48-29 49-4c 4a-e6 4b-60 4c-49 4d-2f 4e-13 4f-01 
50-9f 51-a8 52-8b 53-a6 54-c8 55-d4 56-b1 57-3d 
58-5c 59-46 5a-96 5b-c9 5c-58 5d-6b 5e-c7 5f-eb 
60-4b 61-d8 62-00 63-18 64-7c 65-7a 66-3a 67-97 
68-09 69-d3 6a-b6 6b-5d 6c-20 6d-07 6e-d5 6f-ab 
70-e3 71-77 72-ad 73-ec 74-34 75-d0 76-85 77-71 
78-8c 79-04 7a-65 7b-44 7c-64 7d-dc 7e-1e 7f-b5 
80-0e 81-d6 82-05 83-27 84-f8 85-76 86-95 87-35 
88-b2 89-21 8a-38 8b-52 8c-78 8d-0f 8e-e5 8f-90 
90-8f 91-23 92-ff 93-aa 94-cd 95-86 96-5a 97-67 
98-e0 99-c2 9a-2e 9b-c1 9c-24 9d-d7 9e-15 9f-50 
a0-bb a1-a7 a2-f5 a3-ea a4-a9 a5-45 a6-53 a7-a1 
a8-51 a9-a4 aa-93 ab-6f ac-1c ad-72 ae-f1 af-ef 
b0-e7 b1-56 b2-88 b3-25 b4-b8 b5-7f b6-6a b7-c4 
b8-b4 b9-fe ba-df bb-a0 bc-1d bd-cb be-41 bf-11 
c0-2d c1-9b c2-99 c3-2a c4-b7 c5-22 c6-fd c7-5e 
c8-54 c9-5b ca-e9 cb-bd cc-12 cd-94 ce-3f cf-2b 
d0-75 d1-16 d2-f0 d3-69 d4-55 d5-6e d6-81 d7-9d 
d8-61 d9-f3 da-37 db-1a dc-7d dd-0b de-fb df-ba 
e0-98 e1-e8 e2-2c e3-70 e4-30 e5-8e e6-4a e7-b0 
e8-e1 e9-ca ea-a3 eb-5f ec-73 ed-02 ee-31 ef-af 
f0-d2 f1-ae f2-26 f3-d9 f4-32 f5-a2 f6-08 f7-3c 
f8-84 f9-0d fa-19 fb-de fc-3b fd-c6 fe-b9 ff-92 
end wires

wires 39
00-dd 01-a8 02-46 03-58 04-da 05-0e 06-72 07-20 
08-f9 09-22 0a-d1 0b-4e 0c-f1 0d-43 0e-05 0f-d5 
10-4d 11-b7 12-cf 13-89 14-8b 15-5f 16-87 17-5d 
18-a4 19-db 1a-91 1b-79 1c-6c 1d-8a 1e-d2 1f-63 
20-07 21-9d 22-09 23-e7 24-76 25-80 26-ab 27-f4 
28-ff 29-4a 2a-6d 2b-68 2c-c7 2d-96 2e-a7 2f-5a 
30-f6 31-33 32-36 33-31 34-53 35-8c 36-32 37-74 
38-d6 39-ed 3a-ea 3b-c3 3c-54 3d-a0 3e-af 3f-de 
40-73 41-8e 42-a6 43-0d 44-67 45-55 46-02 47-b0 
48-dc 49-cd 4a-29 4b-cb 4c-6b 4d-10 4e-0b 4f-52 
50-64 51-c4 52-4f 53-34 54-3c 55-45 56-84 57-8f 
58-03 59-e6 5a-2f 5b-9c 5c-e5 5d-17 5e-9a 5f-15 
60-be 61-b1 62-9f 63-1f 64-50 65-e4 66-fb 67-44 
68-2b 69-e1 6a-88 6b-4c 6c-1c 6d-2a 6e-9b 6f-b4 
70-93 71-ae 72-06 73-40 74-37 75-d8 76-24 77-bb 
78-a3 79-1b 7a-c0 7b-b8 7c-e8 7d-c5 7e-97 7f-e3 
80-25 81-f8 82-85 83-d4 84-56 85-82 86-98 87-16 
88-6a 89-13 8a-1d 8b-14 8c-35 8d-ac 8e-41 8f-57 
90-92 91-1a 92-90 93-70 94-ec 95-b5 96-2d 97-7e 
98-86 99-c2 9a-5e 9b-6e 9c-5b 9d-21 9e-fd 9f-62 
a0-3d a1-d0 a2-fa a3-78 a4-18 a5-e9 a6-42 a7-2e 
a8-01 a9-b9 aa-ce ab-26 ac-8d ad-fe ae-71 af-3e 
b0-47 b1-61 b2-b6 b3-ca b4-6f b5-95 b6-b2 b7-11 
b8-7b b9-a9 ba-f3 bb-77 bc-c1 bd-fc be-60 bf-d9 
c0-7a c1-bc c2-99 c3-3b c4-51 c5-7d c6-c9 c7-2c 
c8-ef c9-c6 ca-b3 cb-4b cc-df cd-49 ce-aa cf-12 
d0-a1 d1-0a d2-1e d3-f7 d4-83 d5-0f d6-38 d7-ee 
d8-75 d9-bf da-04 db-19 dc-48 dd-00 de-3f df-cc 
e0-f5 e1-69 e2-f0 e3-7f e4-65 e5-5c e6-59 e7-23 
e8-7c e9-a5 ea-3a eb-f2 ec-94 ed-39 ee-d7 ef-c8 
f0-e2 f1-0c f2-eb f3-ba f4-27 f5-e0 f6-30 f7-d3 
f8-81 f9-08 fa-a2 fb-66 fc-bd fd-9e fe-ad ff-28 
end wires

wires 40
00-a5 01-e6 02-5a 03-26 04-5c 05-ce 06-39 07-f9 
08-63 09-47 0a-0b 0b-0a 0c-ac 0d-32 0e-6f 0f-87 
10-ed 11-ef 12-93 13-4f 14-b4 15-41 16-90 17-22 
18-2b 19-d2 1a-7d 1b-a2 1c-92 1d-bd 1e-3e 1f-b7 
20-cd 21-96 22-17 23-f1 24-64 25-a1 26-03 27-89 
28-3f 29-c6 2a-a6 2b-18 2c-9a 2d-3b 2e-ba 2f-44 
30-db 31-d7 32-0d 33-eb 34-85 35-fd 36-94 37-df 
38-cc 39-06 3a-fb 3b-2d 3c-bb 3d-97 3e-1e 3f-28 
40-ea 41-15 42-b1 43-79 44-2f 45-95 46-9e 47-09 
48-70 49-c7 4a-f7 4b-ee 4c-e3 4d-c5 4e-d3 4f-13 
50-7e 51-7a 52-f5 53-f0 54-cb 55-5f 56-fe 57-cf 
58-f4 59-88 5a-02 5b-e0 5c-04 5d-60 5e-98 5f-55 
60-5d 61-ad 62-6e 63-08 64-24 65-83 66-e2 67-77 
68-ca 69-8a 6a-72 6b-6d 6c-b9 6d-6b 6e-62 6f-0e 
70-48 71-7c 72-6a 73-aa 74-e8 75-86 76-e7 77-67 
78-d9 79-43 7a-51 7b-d6 7c-71 7d-1a 7e-50 7f-8c 
80-c0 81-e9 82-91 83-65 84-9c 85-34 86-75 87-0f 
88-59 89-27 8a-69 8b-c8 8c-7f 8d-fc 8e-b3 8f-dc 
90-16 91-82 92-1c 93-12 94-36 95-45 96-21 97-3d 
98-5e 99-f2 9a-2c 9b-b2 9c-84 9d-a7 9e-46 9f-b8 
a0-e1 a1-25 a2-1b a3-da a4-ae a5-00 a6-2a a7-9d 
a8-ff a9-f3 aa-73 ab-de ac-0c ad-61 ae-a4 af-f8 
b0-d1 b1-42 b2-9b b3-8e b4-14 b5-d5 b6-c1 b7-1f 
b8-9f b9-6c ba-2e bb-3c bc-f6 bd-1d be-d8 bf-c2 
c0-80 c1-b6 c2-bf c3-e5 c4-fa c5-4d c6-29 c7-49 
c8-8b c9-dd ca-68 cb-54 cc-38 cd-20 ce-05 cf-57 
d0-e4 d1-b0 d2-19 d3-4e d4-ec d5-b5 d6-7b d7-31 
d8-be d9-78 da-a3 db-30 dc-8f dd-c9 de-ab df-37 
e0-5b e1-a0 e2-66 e3-4c e4-d0 e5-c3 e6-01 e7-76 
e8-74 e9-81 ea-40 eb-33 ec-d4 ed-10 ee-4b ef-11 
f0-53 f1-23 f2-99 f3-a9 f4-58 f5-52 f6-bc f7-4a 
f8-af f9-07 fa-c4 fb-3a fc-8d fd-35 fe-56 ff-a8 
end wires

wires 41
00-3a 01-db 02-31 03-6c 04-a4 05-61 06-a9 07-84 
08-65 09-ff 0a-a8 0b-21 0c-f9 0d-c7 0e-ee 0f-d8 
10-8f 11-4e 12-32 13-c0 14-f3 15-3e 16-b2 17-bc 
18-e1 19-be 1a-6a 1b-de 1c-85 1d-5c 1e-7f 1f-d2 
20-aa 21-0b 22-ac 23-e3 24-66 25-52 26-2c 27-f4 
28-53 29-54 2a-c8 2b-39 2c-26 2d-75 2e-93 2f-34 
30-9a 31-02 32-12 33-cc 34-2f 35-b9 36-47 37-b4 
38-bb 39-2b 3a-00 3b-dd 3c-a5 3d-8c 3e-15 3f-58 
40-90 41-c9 42-c1 43-82 44-f1 45-cb 46-a7 47-36 
48-8d 49-89 4a-97 4b-f7 4c-9b 4d-ca 4e-11 4f-e9 
50-d0 51-8a 52-25 53-28 54-29 55-ce 56-91 57-b6 
58-3f 59-60 5a-7d 5b-ef 5c-1d 5d-da 5e-bf 5f-f2 
60-59 61-05 62-9e 63-95 64-86 65-08 66-24 67-ea 
68-b8 69-f5 6a-1a 6b-f0 6c-03 6d-b7 6e-e4 6f-c5 
70-dc 71-7b 72-b1 73-92 74-78 75-2d 76-8b 77-d4 
78-74 79-c6 7a-d9 7b-71 7c-d7 7d-5a 7e-87 7f-1e 
80-ec 81-e2 82-43 83-af 84-07 85-1c 86-64 87-7e 
88-9f 89-49 8a-51 8b-76 8c-3d 8d-48 8e-96 8f-10 
90-40 91-56 92-73 93-2e 94-fb 95-63 96-8e 97-4a 
98-c4 99-c3 9a-30 9b-4c 9c-a1 9d-a3 9e-62 9f-88 
a0-ad a1-9c a2-cf a3-9d a4-04 a5-3c a6-f8 a7-46 
a8-0a a9-06 aa-20 ab-e0 ac-22 ad-a0 ae-b5 af-83 
b0-e6 b1-72 b2-16 b3-d6 b4-37 b5-ae b6-57 b7-6d 
b8-68 b9-35 ba-d1 bb-38 bc-17 bd-e7 be-19 bf-5e 
c0-13 c1-42 c2-f6 c3-99 c4-98 c5-6f c6-79 c7-0d 
